t (s),V (mV)
0,6.5566
0.964,6.5269
1.927,6.4966
2.921,6.4619
3.921,6.4283
4.921,6.3955
5.921,6.3625
6.926,6.3308
7.922,6.2975
8.921,6.2646
9.921,6.2322
10.922,6.1994
11.922,6.168
12.921,6.1358
13.921,6.1031
14.921,6.0716
15.921,6.0393
16.921,6.0069
17.921,5.9759
18.921,5.9445
19.922,5.9137
20.922,5.8835
21.921,5.8532
22.922,5.8224
23.922,5.7926
24.921,5.7627
25.921,5.7328
26.921,5.7031
27.921,5.6728
28.922,5.6438
29.922,5.6139
30.921,5.5852
31.921,5.5561
32.921,5.5269
33.921,5.4968
34.922,5.4685
35.921,5.4405
36.924,5.4112
37.921,5.3843
38.921,5.3567
39.921,5.3294
40.921,5.3012
41.922,5.2738
42.921,5.2464
43.922,5.2195
44.921,5.1917
45.921,5.1646
46.922,5.1378
47.921,5.1111
48.921,5.0846
49.921,5.0578
50.921,5.0321
51.922,5.0057
52.921,4.9784
53.921,4.9532
54.921,4.9267
55.922,4.901
56.921,4.875
57.922,4.8492
58.922,4.824
59.921,4.7984
60.927,4.7715
61.921,4.7476
62.921,4.7227
63.921,4.6975
64.922,4.6727
65.921,4.6474
66.922,4.6229
67.922,4.5978
68.921,4.5724
69.921,4.5482
70.921,4.5229
71.921,4.4986
72.922,4.4746
73.921,4.4504
74.921,4.4259
75.921,4.4018
76.922,4.3786
77.921,4.3564
78.921,4.3333
79.921,4.3102
80.921,4.2881
81.921,4.2654
82.921,4.243
83.921,4.2219
84.922,4.1991
85.921,4.1779
86.921,4.1561
87.921,4.1345
88.921,4.1126
89.921,4.0906
90.922,4.0688
91.921,4.0471
92.921,4.0253
93.921,4.0047
94.921,3.9828
95.921,3.9615
96.922,3.9405
97.921,3.9195
98.921,3.8979
99.922,3.8771
100.921,3.8571
101.922,3.8373
102.926,3.8152
103.921,3.7952
104.922,3.7748
105.921,3.7541
106.921,3.734
107.922,3.7143
108.926,3.692
109.922,3.6729
110.921,3.6524
111.922,3.6326
112.921,3.6128
113.922,3.5933
114.921,3.5737
115.921,3.5541
116.921,3.5349
117.922,3.5161
118.921,3.4958
119.921,3.4766
120.922,3.4574
121.922,3.438
122.921,3.4199
123.921,3.4011
124.921,3.3827
125.921,3.3647
126.921,3.3464
127.921,3.3274
128.921,3.309
129.921,3.2912
130.922,3.2735
