t (s),V (mV)
0,6.5707
1.051,6.5593
2.1,6.5452
3.15,6.5316
4.177,6.5148
5.177,6.5012
6.177,6.4877
7.177,6.4736
8.177,6.4585
9.177,6.4442
10.177,6.4305
11.177,6.4159
12.177,6.4008
13.177,6.3861
14.178,6.372
15.177,6.3578
16.178,6.3433
17.177,6.3291
18.178,6.315
19.178,6.3008
20.178,6.286
21.178,6.2714
22.178,6.2572
23.177,6.2444
24.177,6.2307
25.177,6.2173
26.177,6.2039
27.177,6.1908
28.177,6.1776
29.178,6.1652
30.178,6.152
31.178,6.1395
32.178,6.1261
33.177,6.1132
34.177,6.0996
35.177,6.086
36.178,6.0734
37.177,6.0587
38.177,6.0473
39.177,6.0341
40.177,6.0217
41.177,6.0044
42.177,5.9933
43.177,5.9808
44.177,5.9687
45.178,5.9559
46.178,5.9447
47.177,5.9317
48.177,5.9186
49.177,5.9063
50.177,5.8943
51.177,5.8812
52.177,5.8684
53.177,5.8567
54.178,5.8437
55.178,5.832
56.178,5.8197
57.178,5.8082
58.178,5.7955
59.178,5.7837
60.178,5.7722
61.178,5.7596
62.178,5.7472
63.177,5.7356
64.177,5.7225
65.177,5.7107
66.177,5.6988
67.178,5.6868
68.177,5.6757
69.178,5.6633
70.178,5.6519
71.177,5.6399
72.177,5.6273
73.177,5.6155
74.177,5.6034
75.178,5.5911
76.177,5.5781
77.177,5.5666
78.177,5.5557
79.177,5.5437
80.178,5.5315
81.178,5.52
82.177,5.5082
83.177,5.4964
84.177,5.4857
85.177,5.4741
86.177,5.4621
87.177,5.4507
88.178,5.4395
89.178,5.4274
90.178,5.4169
91.182,5.4067
92.178,5.3945
93.178,5.3832
94.178,5.3718
95.177,5.3598
96.177,5.3482
97.178,5.3376
98.177,5.3261
99.178,5.3154
100.178,5.3037
101.177,5.2949
102.177,5.2842
103.183,5.2722
104.177,5.2632
105.177,5.2518
106.177,5.2415
107.177,5.2307
108.178,5.2194
109.183,5.2081
110.178,5.1991
111.178,5.1883
112.177,5.179
113.177,5.1683
114.177,5.158
115.178,5.1467
116.178,5.1374
117.177,5.127
118.178,5.1163
119.177,5.1063
120.178,5.0965
121.177,5.0864
122.177,5.0765
123.177,5.0677
124.177,5.0583
125.178,5.0482
126.177,5.0385
127.177,5.0274
128.177,5.0181
129.177,5.0077
130.177,4.9979
131.177,4.9885
132.177,4.9778
133.182,4.9666
134.177,4.9576
135.178,4.9478
136.178,4.9387
137.178,4.928
138.177,4.9189
139.183,4.907
140.178,4.8996
141.177,4.8896
142.178,4.8798
143.177,4.8697
144.178,4.8599
145.177,4.8508
146.177,4.8409
147.177,4.8312
148.177,4.8208
149.177,4.8115
150.178,4.8015
151.177,4.7913
152.177,4.7817
153.177,4.7717
154.177,4.7611
155.178,4.752
156.178,4.7424
157.178,4.7317
158.177,4.7218
159.178,4.713
160.178,4.7039
161.177,4.6937
162.177,4.6841
163.178,4.6752
164.177,4.6661
165.177,4.6559
166.177,4.6463
167.178,4.6379
168.177,4.6274
169.178,4.6187
170.177,4.6088
171.177,4.5993
172.177,4.5898
173.177,4.5804
174.177,4.5715
175.178,4.5628
176.178,4.5532
177.178,4.5446
178.178,4.5356
179.177,4.5267
180.177,4.5172
181.177,4.5081
182.177,4.4982
183.177,4.4894
184.177,4.4804
185.177,4.4713
186.177,4.4628
187.177,4.4533
188.177,4.4453
189.177,4.4351
190.178,4.4258
191.178,4.4172
192.177,4.4073
193.182,4.3954
194.178,4.3879
195.178,4.3788
196.178,4.3698
197.177,4.3607
198.178,4.3505
199.183,4.3397
200.178,4.3326
201.178,4.324
202.178,4.3141
203.177,4.3058
204.177,4.2977
205.182,4.2857
206.178,4.2786
207.178,4.2691
208.178,4.2604
209.177,4.2522
210.177,4.244
211.178,4.2348
212.177,4.227
213.177,4.2171
214.177,4.2085
215.177,4.201
216.177,4.1912
217.178,4.1826
218.177,4.1745
219.178,4.1648
220.178,4.1576
