t (s),V (mV)
221.177,4.1495
222.178,4.1419
223.183,4.135
224.177,4.1229
225.177,4.1146
226.177,4.1066
227.177,4.0992
228.177,4.0905
229.177,4.0827
230.177,4.0753
231.178,4.0679
232.178,4.0602
233.178,4.0527
234.177,4.045
235.183,4.0394
236.177,4.0301
237.177,4.0223
238.177,4.0136
239.177,4.0054
240.177,3.9972
241.183,3.992
242.177,3.982
243.178,3.9742
244.178,3.9668
245.178,3.9597
246.178,3.9512
247.182,3.9434
248.178,3.9373
249.177,3.9293
250.177,3.9221
251.177,3.9148
252.177,3.9069
253.178,3.8987
254.178,3.8911
255.177,3.8841
256.177,3.8772
257.177,3.8693
258.177,3.8616
259.182,3.8521
260.177,3.8462
261.178,3.8382
262.177,3.8309
263.177,3.8227
264.177,3.8156
265.177,3.8081
266.177,3.8012
267.177,3.7941
268.177,3.7866
269.177,3.7802
270.177,3.7736
271.177,3.7654
272.177,3.7584
273.177,3.7513
274.178,3.7441
275.177,3.7368
276.177,3.7305
277.177,3.7224
278.177,3.7159
279.177,3.7087
280.177,3.7018
281.177,3.6943
282.177,3.6875
283.177,3.6809
284.177,3.6731
285.177,3.6669
286.177,3.6598
287.177,3.6526
288.178,3.6456
289.177,3.6392
290.177,3.6319
291.178,3.625
292.178,3.6171
293.178,3.6101
294.178,3.6027
295.178,3.5956
296.177,3.5887
297.177,3.5818
298.177,3.5747
299.177,3.567
300.178,3.5597
301.177,3.5531
302.178,3.5458
303.177,3.5389
304.177,3.5316
305.178,3.5246
306.178,3.5181
307.177,3.512
308.177,3.5056
309.178,3.4982
310.177,3.4909
311.177,3.4838
312.177,3.4775
313.178,3.4707
314.178,3.4646
315.178,3.4587
316.177,3.4516
317.177,3.4456
318.178,3.4389
319.178,3.4323
320.178,3.4267
321.177,3.4199
322.177,3.4141
323.178,3.4057
324.178,3.4001
325.178,3.3934
326.177,3.3869
327.178,3.3806
328.177,3.3747
329.177,3.3677
330.177,3.3612
331.177,3.3547
332.177,3.3477
333.177,3.3412
334.177,3.3348
335.177,3.3283
336.177,3.3216
337.178,3.3146
338.177,3.3091
339.177,3.3024
340.178,3.2952
341.177,3.2892
342.177,3.2841
343.182,3.2758
344.177,3.2712
345.177,3.2637
346.177,3.2573
347.177,3.2506
348.178,3.2434
349.177,3.239
