t (s),V (mV)
0,5.7573
0.969,5.7454
1.901,5.7329
2.864,5.7184
3.827,5.707
4.821,5.6916
5.821,5.6766
6.822,5.6611
7.822,5.6469
8.821,5.6317
9.821,5.617
10.822,5.6018
11.821,5.5869
12.822,5.5718
13.822,5.5563
14.821,5.5415
15.821,5.5264
16.821,5.5112
17.821,5.4971
18.821,5.4817
19.821,5.4677
20.821,5.4524
21.821,5.438
22.822,5.4247
23.822,5.41
24.821,5.395
25.821,5.3819
26.821,5.3679
27.821,5.3532
28.822,5.3385
29.821,5.3237
30.821,5.3094
31.821,5.2942
32.822,5.2788
33.823,5.2645
34.821,5.2501
35.821,5.236
36.821,5.222
37.821,5.2082
38.822,5.1943
39.821,5.1807
40.821,5.1671
41.822,5.1544
42.821,5.1407
43.821,5.1291
44.821,5.1158
45.821,5.102
46.822,5.0888
47.821,5.0761
48.822,5.0641
49.822,5.0508
50.821,5.0383
51.822,5.0257
52.821,5.0138
53.821,5.001
54.821,4.9879
55.821,4.9751
56.821,4.9624
57.821,4.9505
58.821,4.9373
59.821,4.9251
60.822,4.9125
61.821,4.8991
62.821,4.8869
63.821,4.8745
64.821,4.8613
65.821,4.8498
66.822,4.8371
67.822,4.8242
68.821,4.8116
69.821,4.7997
70.821,4.7862
71.821,4.7745
72.821,4.7618
73.821,4.7501
74.821,4.7384
75.822,4.7255
76.821,4.7134
77.821,4.7026
78.822,4.6898
79.822,4.6781
80.821,4.6666
81.821,4.6561
82.821,4.6441
83.821,4.6328
84.821,4.6208
85.821,4.6097
86.822,4.5985
87.821,4.5869
88.821,4.5753
89.821,4.5642
90.822,4.5529
91.821,4.5422
92.822,4.5313
93.821,4.5201
94.821,4.5098
95.821,4.4989
96.821,4.4881
97.821,4.4777
98.822,4.4676
99.822,4.4569
100.821,4.4459
101.822,4.436
102.826,4.4267
103.821,4.4144
104.822,4.4038
105.821,4.3934
106.822,4.3825
107.821,4.3722
108.822,4.3624
109.821,4.351
110.822,4.3388
111.821,4.3306
112.822,4.3201
113.821,4.3098
114.822,4.2996
115.821,4.2893
116.821,4.2794
117.821,4.2688
118.821,4.2584
119.821,4.2486
120.821,4.2387
121.821,4.2279
122.821,4.2178
123.821,4.2079
124.821,4.1977
125.822,4.1879
126.821,4.1783
127.821,4.169
128.822,4.1588
129.821,4.1499
130.821,4.1387
131.822,4.1287
132.821,4.1184
133.822,4.1104
134.821,4.1014
135.821,4.0897
136.821,4.0798
137.821,4.0706
138.822,4.0603
139.821,4.0514
140.822,4.0425
141.821,4.0349
142.821,4.0259
143.822,4.0173
144.826,4.0065
145.821,3.9995
146.822,3.9899
147.821,3.981
148.821,3.9718
149.821,3.9628
150.821,3.9527
151.821,3.9436
152.821,3.9356
153.823,3.9256
154.822,3.9181
155.821,3.9093
156.826,3.8982
157.821,3.8907
158.821,3.8819
159.821,3.8725
160.822,3.8641
161.821,3.8549
162.827,3.8455
163.821,3.8381
164.821,3.829
165.821,3.8209
166.821,3.8119
167.821,3.8031
168.821,3.7951
169.821,3.7858
170.821,3.777
171.821,3.7682
172.821,3.7601
173.821,3.7515
174.822,3.7428
175.821,3.7347
176.821,3.7267
177.821,3.7191
178.821,3.7107
179.822,3.7021
180.821,3.6934
181.821,3.6848
182.821,3.6768
183.821,3.6691
184.821,3.6605
185.821,3.6514
186.821,3.6442
187.821,3.6352
188.822,3.6268
189.821,3.6181
190.822,3.6102
191.821,3.6018
192.826,3.5954
193.821,3.5859
194.822,3.5776
195.821,3.5697
196.821,3.5619
197.822,3.5546
198.821,3.5475
199.821,3.5396
200.821,3.5322
201.821,3.5251
202.821,3.5175
203.821,3.5097
204.821,3.5016
205.821,3.4951
206.821,3.4879
207.821,3.4807
208.822,3.4726
209.821,3.4652
210.822,3.4578
211.822,3.45
212.821,3.4421
213.822,3.4345
214.822,3.4268
215.822,3.419
216.825,3.4129
217.822,3.4029
218.822,3.3944
219.822,3.3879
220.821,3.3798
221.821,3.3727
222.821,3.3658
223.821,3.3577
224.821,3.3508
225.822,3.3429
226.821,3.3343
227.821,3.3273
228.822,3.3197
229.822,3.3122
230.821,3.3045
231.822,3.2966
232.821,3.2885
233.821,3.2816
234.822,3.2746
235.821,3.2663
236.822,3.2594
237.821,3.2522
238.822,3.2439
239.821,3.2371
240.821,3.2295
241.821,3.2238
242.821,3.2161
243.822,3.2086
244.822,3.2014
245.821,3.1951
246.822,3.187
247.822,3.1806
248.821,3.1739
249.822,3.1664
250.821,3.1593
251.822,3.1528
252.822,3.1452
253.821,3.1385
254.821,3.1324
255.822,3.1253
256.821,3.1185
257.822,3.1121
258.822,3.1048
259.822,3.0977
260.821,3.0917
261.821,3.0852
262.821,3.0786
263.822,3.0722
264.821,3.0658
265.821,3.0597
266.822,3.0532
267.821,3.0463
268.821,3.0398
269.822,3.034
270.822,3.0264
271.822,3.0202
272.822,3.0139
273.822,3.0066
274.821,3.0015
275.822,2.9947
276.822,2.9875
277.821,2.9807
278.822,2.9742
279.821,2.9673
280.822,2.9608
281.821,2.9542
282.826,2.949
283.821,2.9404
284.821,2.9348
