t (s),V (mV)
0,4.6692
1.048,4.6546
2.098,4.6359
3.112,4.6199
4.112,4.6027
5.111,4.5858
6.111,4.568
7.112,4.5508
8.111,4.5335
9.111,4.5162
10.111,4.4987
11.116,4.4801
12.111,4.4648
13.112,4.447
14.111,4.4299
15.111,4.413
16.112,4.3952
17.112,4.379
18.111,4.3616
19.111,4.346
20.112,4.3291
21.111,4.3124
22.111,4.2962
23.116,4.2801
24.112,4.2632
25.111,4.2473
26.111,4.2309
27.112,4.2153
28.111,4.1997
29.116,4.1844
30.112,4.168
31.112,4.1529
32.112,4.1372
33.112,4.1213
34.111,4.106
35.111,4.0915
36.111,4.0757
37.111,4.0604
38.111,4.0456
39.112,4.0297
40.111,4.015
41.117,4.0023
42.111,3.9849
43.111,3.9699
44.111,3.9557
45.111,3.9408
46.111,3.9252
47.111,3.9105
48.111,3.8952
49.112,3.8814
50.111,3.8653
51.111,3.8525
52.111,3.8378
53.111,3.8223
54.112,3.8086
55.111,3.7936
56.111,3.7795
57.111,3.7649
58.112,3.7519
59.111,3.7371
60.111,3.7229
61.111,3.7087
62.111,3.6947
63.111,3.6807
64.111,3.6664
65.114,3.6543
66.111,3.6391
67.111,3.6255
68.111,3.6117
69.112,3.5984
70.111,3.5846
71.111,3.5706
72.112,3.5575
73.111,3.5445
74.111,3.5312
75.112,3.5177
76.111,3.5039
77.111,3.4907
78.111,3.4768
79.111,3.4639
80.111,3.4508
81.112,3.4376
82.111,3.4244
83.112,3.4112
84.112,3.3985
85.112,3.3852
86.111,3.373
87.111,3.3605
88.111,3.3474
89.111,3.3347
90.111,3.3223
91.111,3.3101
92.111,3.298
93.111,3.2852
94.111,3.2736
95.111,3.2616
96.111,3.2491
97.112,3.237
98.112,3.2252
99.112,3.213
100.111,3.2012
101.111,3.189
102.112,3.1773
103.111,3.1655
104.112,3.1541
105.111,3.142
106.111,3.1304
107.116,3.1168
108.112,3.1068
109.111,3.0951
110.111,3.0836
111.112,3.0732
112.112,3.0613
113.112,3.0498
114.112,3.0382
115.112,3.0278
116.111,3.0175
117.111,3.0055
118.111,2.995
119.111,2.9839
120.111,2.9723
121.111,2.9613
122.111,2.9501
123.111,2.9394
124.112,2.9278
125.116,2.9157
126.111,2.9056
127.111,2.8945
128.112,2.884
129.111,2.8724
130.111,2.8615
131.116,2.8498
132.112,2.8394
133.112,2.8299
134.112,2.8173
135.112,2.8063
136.112,2.7952
137.112,2.7853
138.111,2.7748
139.112,2.7643
140.111,2.7534
141.111,2.7423
142.111,2.7326
143.111,2.7225
144.111,2.7124
145.112,2.702
146.112,2.6917
147.112,2.682
148.111,2.6714
149.111,2.6613
150.111,2.6512
151.111,2.6421
152.112,2.6325
153.111,2.6224
154.112,2.6139
155.111,2.6038
156.111,2.5929
157.111,2.5831
158.111,2.5735
159.111,2.5647
160.111,2.5544
161.112,2.5455
162.112,2.536
163.112,2.5265
164.111,2.5175
