1	6	1	3
1	12	1	7
1	2	1	1
1	2	1	1
1	2	1	1
1	2	1	1
1	2	1	1
1	2	1	1
1	2	1	1
1	2	1	1
1	2	1	1
1	2	1	1
1	1	1	0
1	1	1	0
1	2	1	1
1	2	1	1
1	2	1	1
1	2	1	1
1	2	1	1
1	1	1	0
1	1	1	0
1	1	1	0
1	2	1	1
1	6	1	3
1	2	1	1
1	2	1	1
1	1	1	0
1	1	1	0
1	1	1	0
1	2	1	1
1	12	1	7
1	21	1	12
1	2	1	1
1	2	1	1
1	2	1	1
1	1	1	0
1	1	1	0
1	2	1	1
1	2	1	1
1	6	1	3
1	2	1	1
1	6	1	3
1	1	1	0
12	1	1	4
32	1	1	10
9	4	1	5
1	2	1	1
1	6	1	3
1	2	1	1
1	2	1	1
1	6	21	6
1	1	57	7
1	2	24	4
1	6	1	3
1	6	1	3
1	6	1	3
1	6	1	3
1	12	1	7
1	6	1	3
1	6	1	3
1	6	1	3
1	2	1	1
1	6	1	3
1	12	1	7
1	12	1	7
1	12	1	7
1	6	1	3
1	6	1	3
1	2	1	1
1	2	1	1
1	2	1	1
1	6	1	3
1	2	1	1
1	2	1	1
1	2	1	1
1	2	1	1
1	2	1	1
1	6	1	3
1	2	1	1
1	2	1	1
1	2	1	1
1	2	1	1
1	2	1	1
1	6	1	3
1	2	1	1
1	2	1	1
1	2	1	1
1	2	1	1
1	2	1	1
1	2	1	1
1	2	1	1
1	2	1	1
1	1	1	0
1	1	1	0
1	1	1	0
1	1	1	0
1	2	1	1
1	2	1	1
1	2	1	1
1	2	1	1
1	6	1	3
1	6	1	3
1	6	1	3
1	6	1	3
1	6	1	3
1	2	1	1
1	6	1	3
1	6	1	3
1	6	1	3
1	6	1	3
1	6	1	3
1	6	1	3
1	12	1	7
1	15	1	9
1	15	1	9
1	12	1	7
1	12	1	7
1	12	1	7
1	12	1	7
1	15	1	9
1	15	1	9
1	12	1	7
1	12	1	7
1	6	1	3
1	21	1	12
1	12	1	7
1	15	1	9
1	18	1	10
1	21	1	12
1	21	1	12
1	12	1	7
1	12	1	7
1	12	1	7
1	12	1	7
1	12	1	7
1	12	1	7
1	12	1	7
1	12	1	7
1	6	1	3
1	6	1	3
1	6	1	3
1	6	1	3
1	45	1	26
1	79	1	46
1	2	1	1
1	2	1	1
1	2	1	1
1	6	1	3
1	2	1	1
1	2	1	1
1	6	1	3
1	6	1	3
1	6	1	3
1	6	1	3
1	6	1	3
1	2	1	1
1	2	1	1
1	2	1	1
1	6	1	3
1	12	1	7
1	6	1	3
1	12	1	7
1	12	1	7
1	6	1	3
1	2	1	1
1	6	1	3
1	6	1	3
1	12	1	7
1	15	1	9
1	15	1	9
1	21	1	12
1	15	1	9
1	15	1	9
1	21	1	12
1	21	1	12
1	21	1	12
1	32	1	19
1	32	1	19
1	32	1	19
1	27	1	16
1	27	1	16
1	32	1	19
1	32	1	19
1	27	1	16
1	27	1	16
1	27	1	16
1	32	1	19
1	35	1	20
1	35	1	20
1	35	1	20
1	35	1	20
1	30	1	18
1	32	1	19
1	32	1	19
1	35	1	20
1	35	1	20
1	35	1	20
1	32	1	19
1	27	1	16
1	27	1	16
1	21	1	12
1	21	1	12
1	21	1	12
1	27	1	16
1	27	1	16
1	27	1	16
1	21	1	12
1	21	1	12
1	15	1	9
1	21	1	12
1	12	1	7
1	12	1	7
1	15	1	9
1	21	1	12
1	12	1	7
1	12	1	7
1	12	1	7
1	6	1	3
1	12	1	7
1	12	1	7
1	12	1	7
1	12	1	7
1	12	1	7
1	12	1	7
1	15	1	9
1	15	1	9
1	15	1	9
1	15	1	9
1	15	1	9
1	12	1	7
1	15	1	9
1	15	1	9
1	21	1	12
1	27	1	16
1	27	1	16
1	27	1	16
1	27	1	16
1	27	1	16
1	32	1	19
1	32	1	19
1	35	1	20
1	35	1	20
1	45	1	26
1	48	1	28
1	52	1	30
1	48	1	28
1	52	1	30
1	52	1	30
1	52	1	30
1	55	1	32
1	55	1	32
1	59	1	35
1	50	1	29
1	45	1	26
1	52	1	30
1	59	1	35
1	43	1	25
1	38	1	22
1	48	1	28
1	48	1	28
1	48	1	28
1	48	1	28
1	35	1	20
1	40	1	23
1	35	1	20
1	35	1	20
1	35	1	20
1	32	1	19
1	35	1	20
1	35	1	20
1	32	1	19
1	32	1	19
1	27	1	16
1	27	1	16
1	21	1	12
1	21	1	12
1	21	1	12
1	21	1	12
1	21	1	12
1	27	1	16
1	21	1	12
1	21	1	12
1	21	1	12
1	21	1	12
1	21	1	12
1	21	1	12
1	21	1	12
1	27	1	16
1	27	1	16
1	21	1	12
1	32	1	19
1	35	1	20
1	35	1	20
1	40	1	23
1	45	1	26
1	48	1	28
1	48	1	28
1	48	1	28
1	52	1	30
1	48	1	28
1	62	1	36
1	66	1	39
1	68	1	40
1	71	1	42
1	75	1	44
1	75	1	44
1	79	1	46
1	83	1	49
1	83	1	49
1	79	1	46
1	81	1	47
1	85	1	50
1	81	1	47
1	85	1	50
1	87	1	51
1	87	1	51
1	85	1	50
1	85	1	50
1	89	1	52
1	89	1	52
1	85	1	50
1	85	1	50
1	91	1	53
1	87	1	51
1	93	1	55
1	93	1	55
1	93	1	55
1	95	1	56
1	89	1	52
1	93	1	55
1	89	1	52
1	87	1	51
1	85	1	50
1	85	1	50
1	77	1	45
1	79	1	46
1	71	1	42
1	71	1	42
1	64	1	37
1	66	1	39
1	62	1	36
1	59	1	35
1	59	1	35
