	Measurement	Number	Measurement	type	
	30	DC	IV		
					
	Measurement	ID	SeriesID		
	740075.657240	0			
					
	MeasureMode	Bias1	Bias2		
	2	-4	4		
					
	Step	Positive	compliance	Negative	compliance
	0.02	0.1	0.1		
					
	RealMeasuredPoints				
	804				
					
Bias	Current	Resistance			
-2.2400e+00	-3.4264e-06	6.5376e+05			
-2.2600e+00	-3.4335e-06	6.5822e+05			
-2.2800e+00	-3.4403e-06	6.6273e+05			
-2.3000e+00	-3.4478e-06	6.6710e+05			
-2.3200e+00	-3.4550e-06	6.7150e+05			
-2.3400e+00	-3.4625e-06	6.7581e+05			
-2.3600e+00	-3.4703e-06	6.8005e+05			
-2.3800e+00	-3.4778e-06	6.8434e+05			
-2.4000e+00	-3.4843e-06	6.8881e+05			
-2.4200e+00	-3.4905e-06	6.9332e+05			
-2.4400e+00	-3.4961e-06	6.9791e+05			
-2.4600e+00	-3.5023e-06	7.0239e+05			
-2.4800e+00	-3.5087e-06	7.0682e+05			
-2.5000e+00	-3.5153e-06	7.1118e+05			
-2.5200e+00	-3.5221e-06	7.1548e+05			
-2.5400e+00	-3.5291e-06	7.1974e+05			
-2.5600e+00	-3.5357e-06	7.2405e+05			
-2.5800e+00	-3.5427e-06	7.2827e+05			
-2.6000e+00	-3.5497e-06	7.3246e+05			
-2.6200e+00	-3.5561e-06	7.3676e+05			
-2.6400e+00	-3.5614e-06	7.4128e+05			
-2.6600e+00	-3.5668e-06	7.4576e+05			
-2.6800e+00	-3.5725e-06	7.5018e+05			
-2.7000e+00	-3.5793e-06	7.5434e+05			
-2.7200e+00	-3.5865e-06	7.5840e+05			
-2.7400e+00	-3.5942e-06	7.6234e+05			
-2.7600e+00	-3.6018e-06	7.6627e+05			
-2.7800e+00	-3.6089e-06	7.7031e+05			
-2.8000e+00	-3.6154e-06	7.7447e+05			
-2.8200e+00	-3.6226e-06	7.7844e+05			
-2.8400e+00	-3.6298e-06	7.8242e+05			
-2.8600e+00	-3.6360e-06	7.8658e+05			
-2.8800e+00	-3.6415e-06	7.9088e+05			
-2.9000e+00	-3.6474e-06	7.9509e+05			
-2.9200e+00	-3.6534e-06	7.9926e+05			
-2.9400e+00	-3.6593e-06	8.0343e+05			
-2.9600e+00	-3.6634e-06	8.0798e+05			
-2.9800e+00	-3.6668e-06	8.1270e+05			
-3.0000e+00	-3.6698e-06	8.1747e+05			
-3.0200e+00	-3.6740e-06	8.2198e+05			
-3.0400e+00	-3.6779e-06	8.2656e+05			
-3.0600e+00	-3.6823e-06	8.3100e+05			
-3.0800e+00	-3.6875e-06	8.3524e+05			
-3.1000e+00	-3.6931e-06	8.3940e+05			
-3.1200e+00	-3.6987e-06	8.4354e+05			
-3.1400e+00	-3.7042e-06	8.4770e+05			
-3.1600e+00	-3.7087e-06	8.5204e+05			
-3.1800e+00	-3.7140e-06	8.5622e+05			
-3.2000e+00	-3.7199e-06	8.6023e+05			
-3.2200e+00	-3.7272e-06	8.6391e+05			
-3.2400e+00	-3.7363e-06	8.6717e+05			
-3.2600e+00	-3.7463e-06	8.7019e+05			
-3.2800e+00	-3.7558e-06	8.7331e+05			
-3.3000e+00	-3.7643e-06	8.7666e+05			
-3.3200e+00	-3.7711e-06	8.8038e+05			
-3.3400e+00	-3.7772e-06	8.8424e+05			
-3.3600e+00	-3.7828e-06	8.8824e+05			
-3.3800e+00	-3.7869e-06	8.9254e+05			
-3.4000e+00	-3.7906e-06	8.9695e+05			
-3.4200e+00	-3.7940e-06	9.0143e+05			
-3.4400e+00	-3.7980e-06	9.0575e+05			
-3.4600e+00	-3.8025e-06	9.0993e+05			
-3.4800e+00	-3.8074e-06	9.1401e+05			
-3.5000e+00	-3.8119e-06	9.1818e+05			
-3.5200e+00	-3.8151e-06	9.2264e+05			
-3.5400e+00	-3.8169e-06	9.2745e+05			
-3.5600e+00	-3.8178e-06	9.3248e+05			
-3.5800e+00	-3.8184e-06	9.3756e+05			
-3.6000e+00	-3.8187e-06	9.4273e+05			
-3.6200e+00	-3.8185e-06	9.4801e+05			
-3.6400e+00	-3.8202e-06	9.5283e+05			
-3.6600e+00	-3.8254e-06	9.5677e+05			
-3.6800e+00	-3.8315e-06	9.6046e+05			
-3.7000e+00	-3.8362e-06	9.6450e+05			
-3.7200e+00	-3.8382e-06	9.6919e+05			
-3.7400e+00	-3.8368e-06	9.7478e+05			
-3.7600e+00	-3.8330e-06	9.8095e+05			
-3.7800e+00	-3.8284e-06	9.8736e+05			
-3.8000e+00	-3.8253e-06	9.9338e+05			
-3.8200e+00	-3.8237e-06	9.9903e+05			
-3.8400e+00	-3.8241e-06	1.0042e+06			
-3.8600e+00	-3.8255e-06	1.0090e+06			
-3.8800e+00	-3.8273e-06	1.0138e+06			
-3.9000e+00	-3.8297e-06	1.0184e+06			
-3.9200e+00	-3.8327e-06	1.0228e+06			
-3.9400e+00	-3.8359e-06	1.0271e+06			
-3.9600e+00	-3.8389e-06	1.0315e+06			
-3.9800e+00	-3.8416e-06	1.0360e+06			
-4.0000e+00	-3.8445e-06	1.0404e+06			
-4.0000e+00	-3.8437e-06	1.0407e+06			
-3.9800e+00	-3.8393e-06	1.0367e+06			
-3.9600e+00	-3.8348e-06	1.0326e+06			
-3.9400e+00	-3.8309e-06	1.0285e+06			
-3.9200e+00	-3.8269e-06	1.0243e+06			
-3.9000e+00	-3.8229e-06	1.0202e+06			
-3.8800e+00	-3.8191e-06	1.0160e+06			
-3.8600e+00	-3.8150e-06	1.0118e+06			
-3.8400e+00	-3.8111e-06	1.0076e+06			
-3.8200e+00	-3.8073e-06	1.0033e+06			
-3.8000e+00	-3.8037e-06	9.9903e+05			
-3.7800e+00	-3.8002e-06	9.9467e+05			
-3.7600e+00	-3.7969e-06	9.9029e+05			
-3.7400e+00	-3.7934e-06	9.8592e+05			
-3.7200e+00	-3.7896e-06	9.8164e+05			
-3.7000e+00	-3.7859e-06	9.7731e+05			
-3.6800e+00	-3.7822e-06	9.7297e+05			
-3.6600e+00	-3.7787e-06	9.6859e+05			
-3.6400e+00	-3.7750e-06	9.6425e+05			
-3.6200e+00	-3.7714e-06	9.5985e+05			
-3.6000e+00	-3.7677e-06	9.5550e+05			
-3.5800e+00	-3.7638e-06	9.5116e+05			
-3.5600e+00	-3.7602e-06	9.4676e+05			
-3.5400e+00	-3.7564e-06	9.4240e+05			
-3.5200e+00	-3.7525e-06	9.3804e+05			
-3.5000e+00	-3.7487e-06	9.3366e+05			
-3.4800e+00	-3.7448e-06	9.2928e+05			
-3.4600e+00	-3.7409e-06	9.2492e+05			
-3.4400e+00	-3.7366e-06	9.2063e+05			
-3.4200e+00	-3.7324e-06	9.1630e+05			
-3.4000e+00	-3.7283e-06	9.1195e+05			
-3.3800e+00	-3.7241e-06	9.0759e+05			
-3.3600e+00	-3.7196e-06	9.0332e+05			
-3.3400e+00	-3.7151e-06	8.9904e+05			
-3.3200e+00	-3.7106e-06	8.9474e+05			
-3.3000e+00	-3.7057e-06	8.9053e+05			
-3.2800e+00	-3.7005e-06	8.8637e+05			
-3.2600e+00	-3.6948e-06	8.8232e+05			
-3.2400e+00	-3.6899e-06	8.7807e+05			
-3.2200e+00	-3.6851e-06	8.7379e+05			
-3.2000e+00	-3.6804e-06	8.6947e+05			
-3.1800e+00	-3.6757e-06	8.6514e+05			
-3.1600e+00	-3.6711e-06	8.6077e+05			
-3.1400e+00	-3.6665e-06	8.5640e+05			
-3.1200e+00	-3.6620e-06	8.5200e+05			
-3.1000e+00	-3.6571e-06	8.4766e+05			
-3.0800e+00	-3.6523e-06	8.4330e+05			
-3.0600e+00	-3.6475e-06	8.3894e+05			
-3.0400e+00	-3.6425e-06	8.3459e+05			
-3.0200e+00	-3.6373e-06	8.3027e+05			
-3.0000e+00	-3.6321e-06	8.2596e+05			
-2.9800e+00	-3.6272e-06	8.2158e+05			
-2.9600e+00	-3.6220e-06	8.1724e+05			
-2.9400e+00	-3.6166e-06	8.1292e+05			
-2.9200e+00	-3.6111e-06	8.0861e+05			
-2.9000e+00	-3.6058e-06	8.0426e+05			
-2.8800e+00	-3.6001e-06	7.9997e+05			
-2.8600e+00	-3.5950e-06	7.9556e+05			
-2.8400e+00	-3.5894e-06	7.9122e+05			
-2.8200e+00	-3.5841e-06	7.8681e+05			
-2.8000e+00	-3.5788e-06	7.8238e+05			
-2.7800e+00	-3.5735e-06	7.7795e+05			
-2.7600e+00	-3.5680e-06	7.7354e+05			
-2.7400e+00	-3.5622e-06	7.6919e+05			
-2.7200e+00	-3.5562e-06	7.6487e+05			
-2.7000e+00	-3.5505e-06	7.6046e+05			
-2.6800e+00	-3.5445e-06	7.5609e+05			
-2.6600e+00	-3.5386e-06	7.5171e+05			
-2.6400e+00	-3.5324e-06	7.4736e+05			
-2.6200e+00	-3.5263e-06	7.4299e+05			
-2.6000e+00	-3.5199e-06	7.3865e+05			
-2.5800e+00	-3.5132e-06	7.3436e+05			
-2.5600e+00	-3.5067e-06	7.3003e+05			
-2.5400e+00	-3.4999e-06	7.2574e+05			
-2.5200e+00	-3.4928e-06	7.2147e+05			
-2.5000e+00	-3.4861e-06	7.1714e+05			
-2.4800e+00	-3.4792e-06	7.1281e+05			
-2.4600e+00	-3.4719e-06	7.0854e+05			
-2.4400e+00	-3.4648e-06	7.0422e+05			
-2.4200e+00	-3.4579e-06	6.9985e+05			
-2.4000e+00	-3.4511e-06	6.9542e+05			
-2.3800e+00	-3.4448e-06	6.9089e+05			
-2.3600e+00	-3.4382e-06	6.8641e+05			
-2.3400e+00	-3.4310e-06	6.8202e+05			
-2.3200e+00	-3.4232e-06	6.7773e+05			
-2.3000e+00	-3.4152e-06	6.7346e+05			
-2.2800e+00	-3.4071e-06	6.6918e+05			
-2.2600e+00	-3.3994e-06	6.6482e+05			
-2.2400e+00	-3.3914e-06	6.6049e+05			
-2.2200e+00	-3.3832e-06	6.5618e+05			
-2.2000e+00	-3.3742e-06	6.5201e+05			
-2.1800e+00	-3.3653e-06	6.4779e+05			
-2.1600e+00	-3.3572e-06	6.4339e+05			
-2.1400e+00	-3.3493e-06	6.3895e+05			
-2.1200e+00	-3.3412e-06	6.3449e+05			
-2.1000e+00	-3.3329e-06	6.3007e+05			
-2.0800e+00	-3.3247e-06	6.2561e+05			
-2.0600e+00	-3.3164e-06	6.2115e+05			
-2.0400e+00	-3.3081e-06	6.1666e+05			
-2.0200e+00	-3.2994e-06	6.1223e+05			
-2.0000e+00	-3.2906e-06	6.0780e+05			
-1.9800e+00	-3.2819e-06	6.0331e+05			
-1.9600e+00	-3.2730e-06	5.9883e+05			
-1.9400e+00	-3.2638e-06	5.9439e+05			
-1.9200e+00	-3.2548e-06	5.8990e+05			
