	Measurement	Number	Measurement	type	
	30	DC	IV		
					
	Measurement	ID	SeriesID		
	740075.657240	0			
					
	MeasureMode	Bias1	Bias2		
	2	-4	4		
					
	Step	Positive	compliance	Negative	compliance
	0.02	0.1	0.1		
					
	RealMeasuredPoints				
	804				
					
Bias	Current	Resistance			
2.1400e+00	3.4075e-06	6.2803e+05			
2.1600e+00	3.4158e-06	6.3235e+05			
2.1800e+00	3.4238e-06	6.3672e+05			
2.2000e+00	3.4316e-06	6.4110e+05			
2.2200e+00	3.4392e-06	6.4550e+05			
2.2400e+00	3.4469e-06	6.4986e+05			
2.2600e+00	3.4547e-06	6.5418e+05			
2.2800e+00	3.4627e-06	6.5844e+05			
2.3000e+00	3.4697e-06	6.6289e+05			
2.3200e+00	3.4764e-06	6.6736e+05			
2.3400e+00	3.4832e-06	6.7180e+05			
2.3600e+00	3.4899e-06	6.7624e+05			
2.3800e+00	3.4965e-06	6.8068e+05			
2.4000e+00	3.5031e-06	6.8511e+05			
2.4200e+00	3.5098e-06	6.8949e+05			
2.4400e+00	3.5165e-06	6.9387e+05			
2.4600e+00	3.5230e-06	6.9826e+05			
2.4800e+00	3.5294e-06	7.0267e+05			
2.5000e+00	3.5358e-06	7.0705e+05			
2.5200e+00	3.5424e-06	7.1138e+05			
2.5400e+00	3.5488e-06	7.1573e+05			
2.5600e+00	3.5552e-06	7.2007e+05			
2.5800e+00	3.5616e-06	7.2439e+05			
2.6000e+00	3.5681e-06	7.2869e+05			
2.6200e+00	3.5746e-06	7.3295e+05			
2.6400e+00	3.5809e-06	7.3724e+05			
2.6600e+00	3.5873e-06	7.4150e+05			
2.6800e+00	3.5936e-06	7.4578e+05			
2.7000e+00	3.5992e-06	7.5016e+05			
2.7200e+00	3.6052e-06	7.5447e+05			
2.7400e+00	3.6107e-06	7.5885e+05			
2.7600e+00	3.6170e-06	7.6306e+05			
2.7800e+00	3.6227e-06	7.6739e+05			
2.8000e+00	3.6281e-06	7.7175e+05			
2.8200e+00	3.6333e-06	7.7615e+05			
2.8400e+00	3.6390e-06	7.8043e+05			
2.8600e+00	3.6445e-06	7.8474e+05			
2.8800e+00	3.6498e-06	7.8908e+05			
2.9000e+00	3.6552e-06	7.9340e+05			
2.9200e+00	3.6605e-06	7.9770e+05			
2.9400e+00	3.6661e-06	8.0195e+05			
2.9600e+00	3.6714e-06	8.0622e+05			
2.9800e+00	3.6766e-06	8.1052e+05			
3.0000e+00	3.6817e-06	8.1484e+05			
3.0200e+00	3.6871e-06	8.1907e+05			
3.0400e+00	3.6927e-06	8.2324e+05			
3.0600e+00	3.6988e-06	8.2728e+05			
3.0800e+00	3.7046e-06	8.3141e+05			
3.1000e+00	3.7104e-06	8.3548e+05			
3.1200e+00	3.7162e-06	8.3957e+05			
3.1400e+00	3.7217e-06	8.4370e+05			
3.1600e+00	3.7272e-06	8.4782e+05			
3.1800e+00	3.7325e-06	8.5198e+05			
3.2000e+00	3.7375e-06	8.5619e+05			
3.2200e+00	3.7426e-06	8.6036e+05			
3.2400e+00	3.7477e-06	8.6453e+05			
3.2600e+00	3.7523e-06	8.6879e+05			
3.2800e+00	3.7569e-06	8.7306e+05			
3.3000e+00	3.7617e-06	8.7726e+05			
3.3200e+00	3.7663e-06	8.8150e+05			
3.3400e+00	3.7710e-06	8.8571e+05			
3.3600e+00	3.7753e-06	8.8999e+05			
3.3800e+00	3.7799e-06	8.9420e+05			
3.4000e+00	3.7847e-06	8.9834e+05			
3.4200e+00	3.7889e-06	9.0263e+05			
3.4400e+00	3.7922e-06	9.0712e+05			
3.4600e+00	3.7953e-06	9.1164e+05			
3.4800e+00	3.7986e-06	9.1613e+05			
3.5000e+00	3.8016e-06	9.2067e+05			
3.5200e+00	3.8040e-06	9.2534e+05			
3.5400e+00	3.8060e-06	9.3010e+05			
3.5600e+00	3.8081e-06	9.3485e+05			
3.5800e+00	3.8109e-06	9.3942e+05			
3.6000e+00	3.8141e-06	9.4387e+05			
3.6200e+00	3.8169e-06	9.4842e+05			
3.6400e+00	3.8202e-06	9.5282e+05			
3.6600e+00	3.8238e-06	9.5716e+05			
3.6800e+00	3.8273e-06	9.6152e+05			
3.7000e+00	3.8301e-06	9.6603e+05			
3.7200e+00	3.8328e-06	9.7057e+05			
3.7400e+00	3.8357e-06	9.7505e+05			
3.7600e+00	3.8386e-06	9.7952e+05			
3.7800e+00	3.8410e-06	9.8411e+05			
3.8000e+00	3.8433e-06	9.8874e+05			
3.8200e+00	3.8450e-06	9.9350e+05			
3.8400e+00	3.8471e-06	9.9815e+05			
3.8600e+00	3.8495e-06	1.0027e+06			
3.8800e+00	3.8516e-06	1.0074e+06			
3.9000e+00	3.8534e-06	1.0121e+06			
3.9200e+00	3.8546e-06	1.0170e+06			
3.9400e+00	3.8559e-06	1.0218e+06			
3.9600e+00	3.8570e-06	1.0267e+06			
3.9800e+00	3.8579e-06	1.0317e+06			
4.0000e+00	3.8590e-06	1.0365e+06			
4.0000e+00	3.8563e-06	1.0373e+06			
3.9800e+00	3.8506e-06	1.0336e+06			
3.9600e+00	3.8445e-06	1.0301e+06			
3.9400e+00	3.8384e-06	1.0265e+06			
3.9200e+00	3.8325e-06	1.0228e+06			
3.9000e+00	3.8270e-06	1.0191e+06			
3.8800e+00	3.8223e-06	1.0151e+06			
3.8600e+00	3.8177e-06	1.0111e+06			
3.8400e+00	3.8133e-06	1.0070e+06			
3.8200e+00	3.8088e-06	1.0029e+06			
3.8000e+00	3.8043e-06	9.9888e+05			
3.7800e+00	3.7995e-06	9.9486e+05			
3.7600e+00	3.7949e-06	9.9079e+05			
3.7400e+00	3.7907e-06	9.8663e+05			
3.7200e+00	3.7865e-06	9.8245e+05			
3.7000e+00	3.7828e-06	9.7810e+05			
3.6800e+00	3.7795e-06	9.7367e+05			
3.6600e+00	3.7767e-06	9.6910e+05			
3.6400e+00	3.7742e-06	9.6444e+05			
3.6200e+00	3.7724e-06	9.5959e+05			
3.6000e+00	3.7710e-06	9.5465e+05			
3.5800e+00	3.7698e-06	9.4966e+05			
3.5600e+00	3.7687e-06	9.4461e+05			
3.5400e+00	3.7678e-06	9.3953e+05			
3.5200e+00	3.7666e-06	9.3454e+05			
3.5000e+00	3.7647e-06	9.2969e+05			
3.4800e+00	3.7628e-06	9.2485e+05			
3.4600e+00	3.7601e-06	9.2019e+05			
3.4400e+00	3.7572e-06	9.1558e+05			
3.4200e+00	3.7538e-06	9.1106e+05			
3.4000e+00	3.7506e-06	9.0652e+05			
3.3800e+00	3.7466e-06	9.0215e+05			
3.3600e+00	3.7421e-06	8.9788e+05			
3.3400e+00	3.7377e-06	8.9359e+05			
3.3200e+00	3.7329e-06	8.8939e+05			
3.3000e+00	3.7280e-06	8.8519e+05			
3.2800e+00	3.7230e-06	8.8102e+05			
3.2600e+00	3.7178e-06	8.7687e+05			
3.2400e+00	3.7128e-06	8.7266e+05			
3.2200e+00	3.7076e-06	8.6848e+05			
3.2000e+00	3.7021e-06	8.6437e+05			
3.1800e+00	3.6967e-06	8.6023e+05			
3.1600e+00	3.6913e-06	8.5606e+05			
3.1400e+00	3.6855e-06	8.5198e+05			
3.1200e+00	3.6799e-06	8.4784e+05			
3.1000e+00	3.6740e-06	8.4376e+05			
3.0800e+00	3.6685e-06	8.3958e+05			
3.0600e+00	3.6628e-06	8.3542e+05			
3.0400e+00	3.6572e-06	8.3123e+05			
3.0200e+00	3.6515e-06	8.2706e+05			
3.0000e+00	3.6457e-06	8.2288e+05			
2.9800e+00	3.6398e-06	8.1872e+05			
2.9600e+00	3.6340e-06	8.1452e+05			
2.9400e+00	3.6281e-06	8.1034e+05			
2.9200e+00	3.6226e-06	8.0605e+05			
2.9000e+00	3.6168e-06	8.0182e+05			
2.8800e+00	3.6110e-06	7.9757e+05			
2.8600e+00	3.6055e-06	7.9324e+05			
2.8400e+00	3.6005e-06	7.8879e+05			
2.8200e+00	3.5952e-06	7.8438e+05			
2.8000e+00	3.5896e-06	7.8003e+05			
2.7800e+00	3.5838e-06	7.7570e+05			
2.7600e+00	3.5779e-06	7.7139e+05			
2.7400e+00	3.5723e-06	7.6701e+05			
2.7200e+00	3.5668e-06	7.6259e+05			
2.7000e+00	3.5618e-06	7.5805e+05			
2.6800e+00	3.5567e-06	7.5350e+05			
2.6600e+00	3.5516e-06	7.4896e+05			
2.6400e+00	3.5463e-06	7.4444e+05			
2.6200e+00	3.5409e-06	7.3993e+05			
2.6000e+00	3.5351e-06	7.3548e+05			
2.5800e+00	3.5294e-06	7.3100e+05			
2.5600e+00	3.5237e-06	7.2650e+05			
2.5400e+00	3.5175e-06	7.2211e+05			
2.5200e+00	3.5112e-06	7.1771e+05			
2.5000e+00	3.5046e-06	7.1334e+05			
2.4800e+00	3.4985e-06	7.0887e+05			
2.4600e+00	3.4923e-06	7.0440e+05			
2.4400e+00	3.4862e-06	6.9990e+05			
2.4200e+00	3.4797e-06	6.9546e+05			
2.4000e+00	3.4730e-06	6.9104e+05			
2.3800e+00	3.4661e-06	6.8665e+05			
2.3600e+00	3.4588e-06	6.8232e+05			
2.3400e+00	3.4520e-06	6.7787e+05			
2.3200e+00	3.4447e-06	6.7351e+05			
2.3000e+00	3.4375e-06	6.6909e+05			
2.2800e+00	3.4304e-06	6.6464e+05			
2.2600e+00	3.4232e-06	6.6019e+05			
2.2400e+00	3.4156e-06	6.5580e+05			
2.2200e+00	3.4078e-06	6.5144e+05			
2.2000e+00	3.3995e-06	6.4716e+05			
2.1800e+00	3.3908e-06	6.4292e+05			
2.1600e+00	3.3824e-06	6.3861e+05			
2.1400e+00	3.3737e-06	6.3431e+05			
2.1200e+00	3.3651e-06	6.2999e+05			
2.1000e+00	3.3565e-06	6.2565e+05			
2.0800e+00	3.3481e-06	6.2125e+05			
2.0600e+00	3.3396e-06	6.1683e+05			
2.0400e+00	3.3313e-06	6.1237e+05			
2.0200e+00	3.3227e-06	6.0795e+05			
2.0000e+00	3.3141e-06	6.0349e+05			
1.9800e+00	3.3059e-06	5.9893e+05			
1.9600e+00	3.2979e-06	5.9432e+05			
1.9400e+00	3.2897e-06	5.8972e+05			
1.9200e+00	3.2814e-06	5.8511e+05			
1.9000e+00	3.2730e-06	5.8050e+05			
1.8800e+00	3.2645e-06	5.7589e+05			
1.8600e+00	3.2556e-06	5.7131e+05			
1.8400e+00	3.2467e-06	5.6673e+05			
1.8200e+00	3.2372e-06	5.6222e+05			
1.8000e+00	3.2275e-06	5.5771e+05			
1.7800e+00	3.2174e-06	5.5324e+05			
1.7600e+00	3.2068e-06	5.4883e+05			
1.7400e+00	3.1964e-06	5.4436e+05			
1.7200e+00	3.1857e-06	5.3991e+05			
1.7000e+00	3.1746e-06	5.3550e+05			
1.6800e+00	3.1633e-06	5.3110e+05			
1.6600e+00	3.1517e-06	5.2670e+05			
1.6400e+00	3.1397e-06	5.2234e+05			
1.6200e+00	3.1276e-06	5.1797e+05			
1.6000e+00	3.1152e-06	5.1361e+05			
1.5800e+00	3.1027e-06	5.0924e+05			
1.5600e+00	3.0899e-06	5.0487e+05			
1.5400e+00	3.0770e-06	5.0048e+05			
1.5200e+00	3.0639e-06	4.9610e+05			
1.5000e+00	3.0501e-06	4.9179e+05			
1.4800e+00	3.0365e-06	4.8741e+05			
1.4600e+00	3.0224e-06	4.8306e+05			
1.4400e+00	3.0078e-06	4.7875e+05			
1.4200e+00	2.9929e-06	4.7445e+05			
1.4000e+00	2.9778e-06	4.7014e+05			
1.3800e+00	2.9625e-06	4.6583e+05			
1.3600e+00	2.9464e-06	4.6157e+05			
1.3400e+00	2.9302e-06	4.5731e+05			
1.3200e+00	2.9136e-06	4.5305e+05			
1.3000e+00	2.8969e-06	4.4876e+05			
1.2800e+00	2.8798e-06	4.4448e+05			
1.2600e+00	2.8625e-06	4.4018e+05			
1.2400e+00	2.8449e-06	4.3587e+05			
1.2200e+00	2.8270e-06	4.3156e+05			
1.2000e+00	2.8086e-06	4.2726e+05			
1.1800e+00	2.7899e-06	4.2296e+05			
1.1600e+00	2.7709e-06	4.1864e+05			
1.1400e+00	2.7516e-06	4.1430e+05			
1.1200e+00	2.7312e-06	4.1007e+05			
1.1000e+00	2.7103e-06	4.0586e+05			
1.0800e+00	2.6887e-06	4.0168e+05			
1.0600e+00	2.6666e-06	3.9752e+05			
1.0400e+00	2.6435e-06	3.9341e+05			
1.0200e+00	2.6192e-06	3.8942e+05			
1.0000e+00	2.5934e-06	3.8559e+05			
9.8000e-01	2.5578e-06	3.8314e+05			
9.6000e-01	2.5288e-06	3.7962e+05			
9.4000e-01	2.4997e-06	3.7605e+05			
9.2000e-01	2.4706e-06	3.7239e+05			
9.0000e-01	2.4418e-06	3.6859e+05			
8.8000e-01	2.4123e-06	3.6480e+05			
8.6000e-01	2.3806e-06	3.6125e+05			
8.4000e-01	2.3474e-06	3.5784e+05			
8.2000e-01	2.3132e-06	3.5449e+05			
8.0000e-01	2.2778e-06	3.5122e+05			
7.8000e-01	2.2420e-06	3.4790e+05			
7.6000e-01	2.2049e-06	3.4468e+05			
7.4000e-01	2.1668e-06	3.4153e+05			
7.2000e-01	2.1269e-06	3.3851e+05			
7.0000e-01	2.0863e-06	3.3552e+05			
6.8000e-01	2.0442e-06	3.3265e+05			
6.6000e-01	2.0003e-06	3.2996e+05			
6.4000e-01	1.9550e-06	3.2737e+05			
6.2000e-01	1.9081e-06	3.2493e+05			
6.0000e-01	1.8593e-06	3.2271e+05			
5.8000e-01	1.8093e-06	3.2057e+05			
5.6000e-01	1.7575e-06	3.1863e+05			
5.4000e-01	1.7039e-06	3.1692e+05			
5.2000e-01	1.6485e-06	3.1543e+05			
5.0000e-01	1.5913e-06	3.1420e+05			
4.8000e-01	1.5319e-06	3.1334e+05			
4.6000e-01	1.4709e-06	3.1273e+05			
4.4000e-01	1.4080e-06	3.1250e+05			
4.2000e-01	1.3433e-06	3.1266e+05			
4.0000e-01	1.2767e-06	3.1330e+05			
3.8000e-01	1.2083e-06	3.1450e+05			
3.6000e-01	1.1371e-06	3.1658e+05			
3.4000e-01	1.0649e-06	3.1929e+05			
3.2000e-01	9.9150e-07	3.2274e+05			
3.0000e-01	9.1655e-07	3.2732e+05			
2.8000e-01	8.4065e-07	3.3308e+05			
2.6000e-01	7.6447e-07	3.4011e+05			
2.4000e-01	6.8791e-07	3.4888e+05			
2.2000e-01	6.1282e-07	3.5900e+05			
2.0000e-01	5.3940e-07	3.7078e+05			
1.8000e-01	4.6842e-07	3.8427e+05			
1.6000e-01	4.0059e-07	3.9941e+05			
1.4000e-01	3.3678e-07	4.1570e+05			
1.2000e-01	2.7695e-07	4.3329e+05			
1.0000e-01	2.2237e-07	4.4970e+05			
8.0000e-02	1.7234e-07	4.6420e+05			
6.0000e-02	1.2591e-07	4.7653e+05			
4.0000e-02	8.2106e-08	4.8717e+05			
2.0000e-02	3.9872e-08	5.0161e+05			
0.0000e+00	-2.0053e-09	-0.0000e+00			
